PC,Shock Type,Instrument,Base Price,New Price,Base YTM (%),New YTM (%),Δ Yield (bps),Total P&L ($),Duration P&L ($),Convexity P&L ($),Residual P&L ($)
PC2 – Slope,Historical -Extreme,30Y Treasury Bond,1000000.0,1055230.7678007828,4.72,4.387157787291665,-33.284221270833484,55230.76780078281,53120.20141175586,2048.7940354832617,61.77235354368804
PC2 – Slope,Historical -Extreme,5Y Receive-Fixed Swap,0.0,8306.927195691736,3.65,3.4676103114228503,-18.238968857714962,8306.927195691736,8267.168347671002,39.61846353593157,0.14038448480258126
PC3 – Curvature,1-sigma,2Y Treasury Note,1000000.0,999687.8875123513,3.4799999999999995,3.4962935568038582,1.629355680385844,-312.11248764873017,-312.1744318228094,0.06195405184011864,-9.877760860518836e-06
PC3 – Curvature,1-sigma,10Y Treasury Note,1000000.0,1000489.0567934238,4.08,4.073996799260732,-0.6003200739267828,489.0567934238352,488.91538487049786,0.1413790653866318,2.9487950696349685e-05
PC3 – Curvature,1-sigma,30Y Treasury Bond,1000000.0,1002249.7099470671,4.72,4.7059266764917576,-1.4073323508242281,2249.70994706708,2246.0425713661534,3.662813803983398,0.004561896943243049
PC3 – Curvature,1-sigma,5Y Receive-Fixed Swap,0.0,-232.3548089581309,3.65,3.6551268860730084,0.5126886073008458,-232.3548089581309,-232.38611017728837,0.03130432899055287,-3.10983306868462e-06
PC3 – Curvature,2-sigma,2Y Treasury Note,1000000.0,999375.8988735517,3.4799999999999995,3.512587113607716,3.2587113607716183,-624.1011264482513,-624.3488636456055,0.247816207360464,-7.90100062236232e-05
PC3 – Curvature,2-sigma,10Y Treasury Note,1000000.0,1000978.3965220007,4.08,4.067993598521466,-1.2006401478534268,978.3965220006648,977.8307697408827,0.5655162615463964,0.0002359982357333923
PC3 – Curvature,2-sigma,30Y Treasury Bond,1000000.0,1004506.7729388769,4.72,4.691853352983515,-2.8146647016484563,4506.7729388768785,4492.085142732307,14.651255215933592,0.03654092863802916
PC3 – Curvature,2-sigma,5Y Receive-Fixed Swap,0.0,-464.6470279110363,3.65,3.660253772146017,1.0253772146016915,-464.6470279110363,-464.77222035457675,0.12521731596221147,-2.487242174115112e-05
PC3 – Curvature,-1-sigma,2Y Treasury Note,1000000.0,1000312.2363957546,3.4799999999999995,3.463706443196142,-1.6293556803857745,312.23639575461857,312.1744318227961,0.061954051840113364,9.879982333829695e-06
PC3 – Curvature,-1-sigma,10Y Treasury Note,1000000.0,999511.2259646895,4.08,4.086003200739268,0.6003200739267134,-488.7740353104891,-488.91538487044136,0.1413790653865991,-2.9505434367027572e-05
PC3 – Curvature,-1-sigma,30Y Treasury Bond,1000000.0,997757.6156850534,4.72,4.734073323508242,1.4073323508242281,-2242.3843149465974,-2246.0425713661534,3.662813803983398,-0.0045573844274153785
PC3 – Curvature,-1-sigma,5Y Receive-Fixed Swap,0.0,232.41741761460435,3.65,3.6448731139269914,-0.5126886073008458,232.41741761460435,232.38611017728837,0.03130432899055287,3.1083254207614486e-06
PC3 – Curvature,-2-sigma,2Y Treasury Note,1000000.0,1000624.5967589046,3.4799999999999995,3.4474128863922844,-3.258711360771549,624.596758904634,624.3488636455922,0.24781620736045346,7.905168134408891e-05
PC3 – Curvature,-2-sigma,10Y Treasury Note,1000000.0,999022.7345105704,4.08,4.0920064014785344,1.2006401478534268,-977.2654894295847,-977.8307697408827,0.5655162615463964,-0.00023595024838551915
PC3 – Curvature,-2-sigma,30Y Treasury Bond,1000000.0,995522.52969898,4.72,4.748146647016484,2.8146647016484563,-4477.470301019959,-4492.085142732307,14.651255215933592,-0.03641350358589435
PC3 – Curvature,-2-sigma,5Y Receive-Fixed Swap,0.0,464.8974625431001,3.65,3.639746227853983,-1.0253772146016915,464.8974625431001,464.77222035457675,0.12521731596221147,2.487256116151526e-05
PC3 – Curvature,Historical +Extreme,2Y Treasury Note,1000000.0,997080.4946235367,3.4799999999999995,3.63266340856555,15.266340856555024,-2919.5053764632903,-2924.9361206264293,5.438859329104673,-0.00811516596564843
PC3 – Curvature,Historical +Extreme,10Y Treasury Note,1000000.0,1004593.3563162063,4.08,4.023752668727139,-5.624733127286078,4593.356316206278,4580.920547488328,12.41146988581874,0.02429883213120121
PC3 – Curvature,Historical +Extreme,30Y Treasury Bond,1000000.0,1021369.7627770733,4.72,4.588139193763682,-13.18608062363176,21369.76277707331,21044.423808489788,321.55328726488995,3.7856813186309637
PC3 – Curvature,Historical +Extreme,5Y Receive-Fixed Swap,0.0,-2174.6092884965474,3.65,3.6980366510918827,4.80366510918831,-2174.6092884965474,-2177.3548961730344,2.7481631421139827,-0.002555465626985054
PC3 – Curvature,Historical -Extreme,2Y Treasury Note,1000000.0,1004815.1250977947,3.4799999999999995,3.2294470414129273,-25.055295858707265,4815.125097794691,4800.439120200022,14.649978505403777,0.03599908926488027
PC3 – Curvature,Historical -Extreme,10Y Treasury Note,1000000.0,992515.0642566648,4.08,4.172313773126526,9.231377312652612,-7484.935743335169,-7518.2599878390865,33.43123181633028,-0.10698731241255643
PC3 – Curvature,Historical -Extreme,30Y Treasury Bond,1000000.0,966311.446561469,4.72,4.936411486122427,21.64114861224274,-33688.553438531,-34538.352683992,866.1280724000663,-16.32882693906697
PC3 – Curvature,Historical -Extreme,5Y Receive-Fixed Swap,0.0,3580.9138392305467,3.65,3.571161690513949,-7.88383094860505,3580.9138392305467,3573.500135076293,7.402385045310626,0.011319108942910994
